日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240329,3076,あい　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20240329,3077,ホリイフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3079,ディーブイエックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3080,ジェーソン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3082,きちりホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3083,シーズメン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3086,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3087,ドトール・日レスホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3089,テクノアルファ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3091,ブロンコビリー,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3092,ＺＯＺＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3093,トレジャー・ファクトリー,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3094,スーパーバリュー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3096,オーシャンシステム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240329,3097,物語コーポレーション,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3099,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3101,東洋紡,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20240329,3103,ユニチカ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20240329,3104,富士紡ホールディングス,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20240329,3105,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240329,3106,倉敷紡績,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20240329,3107,ダイワボウホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20240329,3109,シキボウ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20240329,3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20240329,3111,オーミケンシ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20240329,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20240329,3116,トヨタ紡織,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
20240329,3121,マーチャント・バンカーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240329,3123,サイボー,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20240329,3131,シンデン・ハイテックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3132,マクニカホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20240329,3133,海帆,グロース（内国株式）,6100,小売業,14,小売,-,-
20240329,3134,Ｈａｍｅｅ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3135,マーケットエンタープライズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売,-,-
20240329,3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20240329,3139,ラクト・ジャパン,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3140,ＢＲＵＮＯ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3141,ウエルシアホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240329,3143,オーウイル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240329,3148,クリエイトＳＤホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240329,3150,グリムス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3151,バイタルケーエスケー・ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3153,八洲電機,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3154,メディアスホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3156,レスターホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3157,ジオリーブグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240329,3160,大光,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240329,3161,アゼアス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
